,edh_person_id,name,praenomen,nomen,cognomen,supernomen,gender,age,tribus,status,religion,occupation,edh_inscription_id,inscription_text,inscription_type,not_before,not_after,origo,origo_clean,auto_origo_geo,origo_pleiades_id,origo_pleiades_name,origo_certainty,origo_geo_source_url,origo_geometry,findspot_name,findspot_ancient,findspot_modern,findspot_geometry,origo_line,1BCE,1CE,2CE,3CE,4CE,5CE
0,HD000011/1,Vetus n[atione] Ba[tavus],,,Vetus,,male,,,slaves?,,,HD000011,Vetus Neronis Claudi Caesaris Augusti corporis custos natione Batavus,epitaph,54.0,68.0,Batavus+,Batavia,False,118590.0,Batavi,certain,nan,POINT (13.463921 48.573506),"Magliana, Tiber",Roma,Roma,POINT (12.4862 41.8917),"LINESTRING (13.463921 48.573506, 12.4862 41.8917)",False,True,False,False,False,False
1,HD000030/1,M. Sentius M.f. Serg. Maurianus Italic.,M.,Sentius,Maurianus,,male,,Sergia,"decurial order, higher local offices","names of pagan deitiescult functions, pagan",,HD000030,Apollini Augusto sacrum Marcus Sentius Marci filius Sergia Maurianus Italicensis aedilis II vir augur perpetuus coloniae Aeliae Augustae Italicae ex argenti pondo C dono dedit,votive inscription,131.0,170.0,Italicensis*,Italicensis,False,1052.0,Italia,certain,nan,POINT (11.0949512 43.6941505),"Porticus, sekundär verwendet",Italica,Santiponce,POINT (-6.0411 37.4355),"LINESTRING (11.0949512 43.6941505, -6.0411 37.4355)",False,False,True,False,False,False
2,HD000033/1,L. Sedati Celsi Artemae Laudiceni(!) ex Asia,L.,Sedatius,Celsus Artemas,,male,,,,,,HD000033,Dis Manibus Luci Sedati Celsi Artemae Laudiceni ex Asia viri optimi Titus Statilius Craterus Maximianus et Iunia Magna et Sedatii Theophilus Zenon Tatianus heredes,epitaph,131.0,170.0,Laudicenus (= Laodicenus) ex Asia,Laodicea in Asia,False,638955.0,Laodicea ad Lycum/Diospolis/Roas,certain,nan,POINT (29.1073887789 37.8359393239),"Via Appia, Tennisclub 'Oasi di Pace'",Roma,Roma,POINT (12.4823 41.8955),"LINESTRING (29.1073887789 37.8359393239, 12.4823 41.8955)",False,False,True,False,False,False
3,HD000035/1,P. Rocius Cleantus Iponobensis,P.,Rocius,Cleanthus*?,,male,,,,,,HD000035,Publius Rocius Cleanthus Iponobensis,owner/artist inscription,71.0,200.0,Iponobensis,Iponobensis,False,265936.0,Iponuba/Hippo Nova,certain,nan,POINT (-4.3084564 37.5966266),NULL,Iponoba,"Cerro del Minguillar, bei",POINT (-4.3085 37.5966),"LINESTRING (-4.3084564 37.5966266, -4.3085 37.5966)",False,True,True,False,False,False
4,HD000040/2,Aelius Florus natione Pann.,,Aelius,Florus,,male,35,,military personnel,,,HD000040,Aelius Florus miles cohortis V praetoriae centuria Vitalis optio karkeris natione Pannonius vixit annos XXXV militavit annos XVI Aurelius Auluzanus heres bene merenti fecit,epitaph,201.0,300.0,Pannonius*,Pannonia,False,1001905.0,Pannonia,certain,nan,POINT (17.5 47.5),NULL,Roma,Roma,POINT (12.4823 41.8955),"LINESTRING (17.5 47.5, 12.4823 41.8955)",False,False,False,True,False,False
5,HD000043/1,L. Aur. L.f. Ael. Diza Sendica(!),L.,Aurelius*,Diza,,male,34,Aelia,military personnel,,,HD000043,Dis Manibus Lucius Aurelius Luci filius Aelia Diza Serdica miles cohortis VI praetoriae Antoninianae piae vindicis qui vixit annos XXXIIII Aurelius Longinus miles cohortis X praetoriae Antoninianae heres ex testamento,epitaph,211.0,222.0,Sendica (= Serdica),Serdica,True,207439.0,Serdica,certain,nan,POINT (23.342891 42.722826),NULL,Roma,Roma,POINT (12.4823 41.8955),"LINESTRING (23.342891 42.722826, 12.4823 41.8955)",False,False,False,True,False,False
6,HD000054/1,L. Viducius [Viduci f. Pla]cidus domo [civitate] Veliocas[s]ium,L.,Viducius,Placidus+,,male,,,,names of pagan deities,data available,HD000054,et Genio loci et numinibus Auggustorum Lucius Viducius Viduci filius Placidus domo civitate Veliocassium provinciae Lugdunensis negotiator Britannicianus arcum et ianuam pro se et suis dedit Grato et Seleuco consulibus,votive inscription,221.0,,domo civitate+ Veliocassium+,Veliocassium,False,109412.0,Veliocasses,uncertain (name could be interpreted differently),nan,POINT (0.831097476911 49.3640014746),Clementhorpe,Eburacum,York,POINT (-1.0823 53.9524),"LINESTRING (0.831097476911 49.3640014746, -1.0823 53.9524)",False,False,False,True,False,False
7,HD000076/1,Divius Tau[rus] n. Bad[a(v)us](!),,Divius,Taurus+,,male,35,,military personnel,,,HD000076,Dis Manibus Divius Taurus eques singularis imperatoris nostri natione Badavus vixit annos XXXV stipendiorum curantes R Sancto et faciendum curaverunt,epitaph,201.0,300.0,natione Batavus+,Batavia,False,118590.0,Batavi,certain,nan,POINT (13.463921 48.573506),"Via Labicana, Friedhof der equites singulares",Roma,Roma,POINT (12.4823 41.8955),"LINESTRING (13.463921 48.573506, 12.4823 41.8955)",False,False,False,True,False,False
8,HD000079/1,Septimi[us ---]dus n. B.,,Septimius+,[---]dus,,male,,,military personnel,,,HD000079,Septimius dus eques singularis imperatoris nostri natione Batavus qui vixit annos militavit annos VIIII turma Procli curante Ulpio Valentino turma Vitalis,epitaph,201.0,300.0,natione* Batavus*?,Batavia,False,118590.0,Batavi,certain,nan,POINT (13.463921 48.573506),"Via Labicana, Friedhof der equites singulares",Roma,Roma,POINT (12.4823 41.8955),"LINESTRING (13.463921 48.573506, 12.4823 41.8955)",False,False,False,True,False,False
9,HD000109/1,Vib. Modesta C. Vib. Libonis fil. ori[unda] Mauretania,,Vibia*,Modesta,,female,,,,"names of pagan deitiescult functions, pagan",,HD000109,Victoriae Augustae Vibia Modesta Cai Vibi Libonis filia oriunda Mauretania iterato honore bis flaminica sacerdos statuam argenteam ex argenti pondo CXXXII unciarum duarum semunciae cum inauribus tribacis margaritis numero X et gemmis numero XXXX et berullis numero VIII et corona aurea cum gemmis numero XXV et gemmareis C accepto loco ab splendidissimo ordine in templo suo coronam auream flaminalem capitulum aureum dominae Isidis alterum Cereris cum maanilibus argenteis item Iunonis Reginae dono dedit,votive inscription,271.0,300.0,oriunda+ Mauretania,Mauretania,False,1119.0,Mauretania,certain,nan,POINT (-2.5 32.5),NULL,Italica,Santiponce,POINT (-6.0411 37.4355),"LINESTRING (-2.5 32.5, -6.0411 37.4355)",False,False,False,True,False,False
