edh_person_id,name,praenomen,nomen,cognomen,supernomen,gender,age,tribus,status,religion,occupation,edh_inscription_id,inscription_text,inscription_type,not_before,not_after,origo,origo_clean,auto_origo_geo,origo_pleiades_id,origo_pleiades_name,origo_certainty,manual_check_certainty,manual_check_notes,origo_geo_source_url,origo_geometry,findspot_name,findspot_ancient,findspot_modern,findspot_geometry,X1BCE,X1CE,X2CE,X3CE,X4CE,X5CE,X__index_level_0__,origo_line
HD000011/1,Vetus n[atione] Ba[tavus],NA,NA,Vetus,NA,male,NA,NA,slaves?,NA,NA,HD000011,Vetus Neronis Claudi Caesaris Augusti corporis custos natione Batavus,epitaph,54,68,Batavus+,Batavia,FALSE,118590,Batavi,certain,,,nan,POINT (13.463921 48.573506),"Magliana, Tiber",Roma,Roma,POINT (12.4862 41.8917),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,"c(13.463921, 12.4862, 48.573506, 41.8917)"
HD000030/1,M. Sentius M.f. Serg. Maurianus Italic.,M.,Sentius,Maurianus,NA,male,NA,Sergia,"decurial order, higher local offices","names of pagan deitiescult functions, pagan",NA,HD000030,Apollini Augusto sacrum Marcus Sentius Marci filius Sergia Maurianus Italicensis aedilis II vir augur perpetuus coloniae Aeliae Augustae Italicae ex argenti pondo C dono dedit,votive inscription,131,170,Italicensis*,Italicensis,FALSE,1052,Italia,certain,,,nan,POINT (11.0949512 43.6941505),"Porticus, sekundär verwendet",Italica,Santiponce,POINT (-6.0411 37.4355),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,"c(11.0949512, -6.0411, 43.6941505, 37.4355)"
HD000033/1,L. Sedati Celsi Artemae Laudiceni(!) ex Asia,L.,Sedatius,Celsus Artemas,NA,male,NA,NA,NA,NA,NA,HD000033,Dis Manibus Luci Sedati Celsi Artemae Laudiceni ex Asia viri optimi Titus Statilius Craterus Maximianus et Iunia Magna et Sedatii Theophilus Zenon Tatianus heredes,epitaph,131,170,Laudicenus (= Laodicenus) ex Asia,Laodicea in Asia,FALSE,638955,Laodicea ad Lycum/Diospolis/Roas,certain,,,nan,POINT (29.1073887789 37.8359393239),"Via Appia, Tennisclub 'Oasi di Pace'",Roma,Roma,POINT (12.4823 41.8955),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,"c(29.1073887789, 12.4823, 37.8359393239, 41.8955)"
HD000035/1,P. Rocius Cleantus Iponobensis,P.,Rocius,Cleanthus*?,NA,male,NA,NA,NA,NA,NA,HD000035,Publius Rocius Cleanthus Iponobensis,owner/artist inscription,71,200,Iponobensis,Iponobensis,FALSE,265936,Iponuba/Hippo Nova,certain,,,nan,POINT (-4.3084564 37.5966266),NULL,Iponoba,"Cerro del Minguillar, bei",POINT (-4.3085 37.5966),FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,3,"c(-4.3084564, -4.3085, 37.5966266, 37.5966)"
HD000040/2,Aelius Florus natione Pann.,NA,Aelius,Florus,NA,male,35,NA,military personnel,NA,NA,HD000040,Aelius Florus miles cohortis V praetoriae centuria Vitalis optio karkeris natione Pannonius vixit annos XXXV militavit annos XVI Aurelius Auluzanus heres bene merenti fecit,epitaph,201,300,Pannonius*,Pannonia,FALSE,1001905,Pannonia,certain,,,nan,POINT (17.5 47.5),NULL,Roma,Roma,POINT (12.4823 41.8955),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,"c(17.5, 12.4823, 47.5, 41.8955)"
HD000043/1,L. Aur. L.f. Ael. Diza Sendica(!),L.,Aurelius*,Diza,NA,male,34,Aelia,military personnel,NA,NA,HD000043,Dis Manibus Lucius Aurelius Luci filius Aelia Diza Serdica miles cohortis VI praetoriae Antoninianae piae vindicis qui vixit annos XXXIIII Aurelius Longinus miles cohortis X praetoriae Antoninianae heres ex testamento,epitaph,211,222,Sendica (= Serdica),Serdica,TRUE,207439,Serdica,certain,,,nan,POINT (23.342891 42.722826),NULL,Roma,Roma,POINT (12.4823 41.8955),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,"c(23.342891, 12.4823, 42.722826, 41.8955)"
HD000054/1,L. Viducius [Viduci f. Pla]cidus domo [civitate] Veliocas[s]ium,L.,Viducius,Placidus+,NA,male,NA,NA,NA,names of pagan deities,data available,HD000054,et Genio loci et numinibus Auggustorum Lucius Viducius Viduci filius Placidus domo civitate Veliocassium provinciae Lugdunensis negotiator Britannicianus arcum et ianuam pro se et suis dedit Grato et Seleuco consulibus,votive inscription,221,NA,domo civitate+ Veliocassium+,Veliocassium,FALSE,109412,Veliocasses,uncertain (name could be interpreted differently),,,nan,POINT (0.831097476911 49.3640014746),Clementhorpe,Eburacum,York,POINT (-1.0823 53.9524),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,"c(0.831097476911, -1.0823, 49.3640014746, 53.9524)"
HD000076/1,Divius Tau[rus] n. Bad[a(v)us](!),NA,Divius,Taurus+,NA,male,35,NA,military personnel,NA,NA,HD000076,Dis Manibus Divius Taurus eques singularis imperatoris nostri natione Badavus vixit annos XXXV stipendiorum curantes R Sancto et faciendum curaverunt,epitaph,201,300,natione Batavus+,Batavia,FALSE,118590,Batavi,certain,,,nan,POINT (13.463921 48.573506),"Via Labicana, Friedhof der equites singulares",Roma,Roma,POINT (12.4823 41.8955),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7,"c(13.463921, 12.4823, 48.573506, 41.8955)"
HD000079/1,Septimi[us ---]dus n. B.,NA,Septimius+,[---]dus,NA,male,NA,NA,military personnel,NA,NA,HD000079,Septimius dus eques singularis imperatoris nostri natione Batavus qui vixit annos militavit annos VIIII turma Procli curante Ulpio Valentino turma Vitalis,epitaph,201,300,natione* Batavus*?,Batavia,FALSE,118590,Batavi,certain,,,nan,POINT (13.463921 48.573506),"Via Labicana, Friedhof der equites singulares",Roma,Roma,POINT (12.4823 41.8955),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,8,"c(13.463921, 12.4823, 48.573506, 41.8955)"
HD000109/1,Vib. Modesta C. Vib. Libonis fil. ori[unda] Mauretania,NA,Vibia*,Modesta,NA,female,NA,NA,NA,"names of pagan deitiescult functions, pagan",NA,HD000109,Victoriae Augustae Vibia Modesta Cai Vibi Libonis filia oriunda Mauretania iterato honore bis flaminica sacerdos statuam argenteam ex argenti pondo CXXXII unciarum duarum semunciae cum inauribus tribacis margaritis numero X et gemmis numero XXXX et berullis numero VIII et corona aurea cum gemmis numero XXV et gemmareis C accepto loco ab splendidissimo ordine in templo suo coronam auream flaminalem capitulum aureum dominae Isidis alterum Cereris cum maanilibus argenteis item Iunonis Reginae dono dedit,votive inscription,271,300,oriunda+ Mauretania,Mauretania,FALSE,1119,Mauretania,certain,,,nan,POINT (-2.5 32.5),NULL,Italica,Santiponce,POINT (-6.0411 37.4355),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9,"c(-2.5, -6.0411, 32.5, 37.4355)"
